TARGETID,QC_png,n_outlier,n_near_limit,oid_n
2851548380004352,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\2851548380004352_QC.png,1,0,1
39632962077068328,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39632962077068328_QC.png,6,0,1
39628427904423489,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39628427904423489_QC.png,10,0,1
39628509492020233,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39628509492020233_QC.png,7,0,1
39627654168581420,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39627654168581420_QC.png,18,0,1
39627891184505000,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39627891184505000_QC.png,4,0,1
2842698365009924,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\2842698365009924_QC.png,15,0,1
39627989356380739,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39627989356380739_QC.png,7,0,1
39627951372766465,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39627951372766465_QC.png,7,0,1
39633094415749408,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39633094415749408_QC.png,7,0,1
39628479746020867,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39628479746020867_QC.png,3,0,1
39633268303202015,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39633268303202015_QC.png,18,0,1
39627978073706582,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39627978073706582_QC.png,16,0,1
39633148295774850,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39633148295774850_QC.png,4,0,1
2842672456794113,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\2842672456794113_QC.png,4,0,1
39627981655640005,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39627981655640005_QC.png,10,0,1
39632946340039678,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39632946340039678_QC.png,1,0,1
39627927301656516,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39627927301656516_QC.png,16,0,1
39628385512587993,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39628385512587993_QC.png,8,0,1
39628052874920104,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39628052874920104_QC.png,5,0,1
39628432170025261,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39628432170025261_QC.png,9,0,1
39627818883089365,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39627818883089365_QC.png,24,0,1
39628157027877015,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39628157027877015_QC.png,33,0,1
39633158324357554,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39633158324357554_QC.png,1,0,1
39633540853268847,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39633540853268847_QC.png,17,0,1
39633499719730834,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39633499719730834_QC.png,16,0,1
2305843020416685507,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\2305843020416685507_QC.png,0,0,1
2843622802194437,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\2843622802194437_QC.png,15,0,1
39628443943440405,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39628443943440405_QC.png,9,0,1
39633001562246726,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\01_seyfert_gold_qc\39633001562246726_QC.png,7,0,1
